,Mvt,Temp,TempExt,Date,Time
0,0.5042071197411003,29.825242718446603,36.0,2021-08-10,00
1,0.5091615769017213,29.998889505830093,35.0,2021-08-10,01
2,0.5158730158730159,30.0,33.0,2021-08-10,02
3,0.5045513654096229,30.0,31.0,2021-08-10,03
4,0.5111234705228032,30.0,32.0,2021-08-10,04
5,0.519327731092437,30.0,30.0,2021-08-10,05
6,0.5058290155440415,30.0,29.0,2021-08-10,06
7,0.5109489051094891,30.0,31.0,2021-08-10,07
8,0.5138888888888888,29.540555555555557,34.0,2021-08-10,08
9,0.5057989690721649,27.358247422680414,36.0,2021-08-10,09
10,0.5137408861469434,27.89568143578239,39.0,2021-08-10,10
11,0.5234595816845675,27.643301300169586,42.0,2021-08-10,11
12,0.5082399472643375,25.99143045484509,46.0,2021-08-10,12
13,0.5177664974619289,25.255499153976313,48.0,2021-08-10,13
14,0.5099889012208657,26.260266370699224,47.0,2021-08-10,14
15,0.5038381018841591,25.0,45.0,2021-08-10,15
16,0.504079254079254,25.18881118881119,44.0,2021-08-10,16
17,0.5164712451144612,27.398659966499164,42.0,2021-08-10,17
18,0.5068672334859385,28.0,38.0,2021-08-10,18
19,0.5143500281373101,28.373100731570062,37.0,2021-08-10,19
20,0.5148127445500279,29.0,35.0,2021-08-10,20
21,0.5,29.0,34.0,2021-08-10,21
22,0.5002858776443682,29.078902229845625,35.0,2021-08-10,22
23,0.5228169014084507,29.971830985915492,32.0,2021-08-10,23
24,0.5055016181229773,30.0,32.0,2021-08-11,00
25,0.5134078212290503,30.0,31.0,2021-08-11,01
26,0.5249169435215947,30.0,26.0,2021-08-11,02
27,0.5038910505836576,30.0,26.0,2021-08-11,03
28,0.49971894322653176,30.074761101742553,25.0,2021-08-11,04
29,0.5200451722190853,30.715979672501412,27.0,2021-08-11,05
30,0.49931787175989084,30.899727148703956,30.0,2021-08-11,06
31,0.5023923444976076,29.947966507177032,32.0,2021-08-11,07
32,0.4883720930232558,28.976744186046513,35.0,2021-08-11,08
33,0.5060240963855421,28.28012048192771,31.0,2021-08-11,16
34,0.5148459383753501,27.779271708683474,29.0,2021-08-11,17
35,0.5027662517289073,28.0,28.0,2021-08-11,18
36,0.5011520737327189,28.46889400921659,27.0,2021-08-11,19
37,0.5217877094972067,29.0,27.0,2021-08-11,20
38,0.5003335557038026,29.475650433622416,26.0,2021-08-12,00
39,0.4986893840104849,29.958715596330276,26.0,2021-08-12,01
40,0.5216010165184244,30.0,23.0,2021-08-12,02
41,0.5042180402336145,30.0,23.0,2021-08-12,03
42,0.5101123595505618,30.0,23.0,2021-08-12,04
43,0.5166666666666667,30.0,27.0,2021-08-12,05
44,0.5037187288708587,30.0,29.0,2021-08-12,06
45,0.5027027027027027,29.41741741741742,30.0,2021-08-12,07
46,0.5134680134680135,27.347362514029182,32.0,2021-08-12,08
47,0.5047169811320755,26.75134770889488,35.0,2021-08-12,09
48,0.5062166962699822,25.93368857312019,37.0,2021-08-12,10
49,0.5137101287073307,25.706211527700056,38.0,2021-08-12,11
50,0.5035783994795056,26.0,38.0,2021-08-12,12
51,0.515831894070236,25.400115141047785,35.0,2021-08-12,13
52,0.5203342618384401,26.041782729805014,34.0,2021-08-12,14
53,0.5051264524948735,26.892002734107997,31.0,2021-08-12,15
54,0.49972051425377306,27.49636668529905,30.0,2021-08-12,16
55,0.5181718061674009,28.0,28.0,2021-08-12,17
56,0.5064516129032258,28.183225806451613,26.0,2021-08-12,18
57,0.5087719298245614,28.948464912280702,26.0,2021-08-12,19
58,0.5103938730853391,29.0,26.0,2021-08-12,20
59,0.5012836970474968,29.029525032092426,25.0,2021-08-13,00
60,0.5005555555555555,29.766666666666666,0.0,2021-08-13,01
61,0.5170418006430868,29.980064308681673,0.0,2021-08-13,02
62,0.5035324341682723,30.0,0.0,2021-08-13,03
63,0.49944258639910816,30.0,0.0,2021-08-13,04
64,0.524070021881838,30.0,0.0,2021-08-13,05
65,0.5028753993610223,30.0,0.0,2021-08-13,06
66,0.5014084507042254,30.0,0.0,2021-08-13,07
67,0.5158836689038031,28.626398210290827,29.0,2021-08-13,08
68,0.5035499726925178,26.952484980884762,30.0,2021-08-13,09
69,0.5061058344640434,26.0,33.0,2021-08-13,10
70,0.518189884649512,26.62466725820763,35.0,2021-08-13,11
71,0.5088265835929388,25.200415368639668,36.0,2021-08-13,12
72,0.5139664804469274,25.52048417132216,36.0,2021-08-13,13
