Mvt,Moy,Min,Max,TempExt
0.5042071197411003,29.825242718446603,29.0,30.0,36.0
0.5091615769017213,29.998889505830093,29.0,30.0,35.0
0.5158730158730159,30.0,30.0,30.0,33.0
0.5045513654096229,30.0,30.0,30.0,31.0
0.5111234705228032,30.0,30.0,30.0,32.0
0.519327731092437,30.0,30.0,30.0,30.0
0.5058290155440415,30.0,30.0,30.0,29.0
0.5109489051094891,30.0,30.0,30.0,31.0
0.5138888888888888,29.540555555555557,28.0,30.0,34.0
0.5057989690721649,27.358247422680414,27.0,28.0,36.0
0.5137408861469434,27.89568143578239,26.0,29.0,39.0
0.5234595816845675,27.643301300169586,26.0,29.0,42.0
0.5082399472643375,25.99143045484509,25.0,26.0,46.0
0.5177664974619289,25.255499153976313,25.0,26.0,48.0
0.5099889012208657,26.260266370699224,25.0,28.0,47.0
0.5038381018841591,25.0,25.0,25.0,45.0
0.504079254079254,25.18881118881119,24.0,27.0,44.0
0.5164712451144612,27.398659966499164,27.0,28.0,42.0
0.5068672334859385,28.0,28.0,28.0,38.0
0.5143500281373101,28.373100731570062,28.0,29.0,37.0
0.5148127445500279,29.0,29.0,29.0,35.0
0.5,29.0,29.0,29.0,34.0
0.5002858776443682,29.078902229845625,29.0,30.0,35.0
0.5228169014084507,29.971830985915492,29.0,30.0,32.0
0.5055016181229773,30.0,30.0,30.0,32.0
0.5134078212290503,30.0,30.0,30.0,31.0
0.5249169435215947,30.0,30.0,30.0,26.0
0.5038910505836576,30.0,30.0,30.0,26.0
0.49971894322653176,30.074761101742553,30.0,31.0,25.0
0.5200451722190853,30.715979672501412,30.0,31.0,27.0
0.49931787175989084,30.899727148703956,30.0,31.0,30.0
0.5023923444976076,29.947966507177032,29.0,31.0,32.0
0.4883720930232558,28.976744186046513,26.0,29.0,35.0
0.5060240963855421,28.28012048192771,26.0,31.0,31.0
0.5148459383753501,27.779271708683474,27.0,28.0,29.0
0.5027662517289073,28.0,28.0,28.0,28.0
0.5011520737327189,28.46889400921659,28.0,29.0,27.0
0.5217877094972067,29.0,29.0,29.0,27.0
0.5003335557038026,29.475650433622416,29.0,30.0,26.0
0.4986893840104849,29.958715596330276,29.0,30.0,26.0
0.5216010165184244,30.0,30.0,30.0,23.0
0.5042180402336145,30.0,30.0,30.0,23.0
0.5101123595505618,30.0,30.0,30.0,23.0
0.5166666666666667,30.0,30.0,30.0,27.0
0.5037187288708587,30.0,30.0,30.0,29.0
0.5027027027027027,29.41741741741742,28.0,30.0,30.0
0.5134680134680135,27.347362514029182,27.0,28.0,32.0
0.5047169811320755,26.75134770889488,26.0,27.0,35.0
0.5062166962699822,25.93368857312019,25.0,27.0,37.0
0.5137101287073307,25.706211527700056,25.0,26.0,38.0
0.5035783994795056,26.0,26.0,26.0,38.0
0.515831894070236,25.400115141047785,25.0,26.0,35.0
0.5203342618384401,26.041782729805014,25.0,27.0,34.0
0.5051264524948735,26.892002734107997,25.0,28.0,31.0
0.49972051425377306,27.49636668529905,26.0,28.0,30.0
0.5181718061674009,28.0,28.0,28.0,28.0
0.5064516129032258,28.183225806451613,28.0,29.0,26.0
0.5087719298245614,28.948464912280702,28.0,29.0,26.0
0.5103938730853391,29.0,29.0,29.0,26.0
